Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
organization_type,6,['Self-employed' 'Trade: type 3' 'Security'],26990,0.14628250571797125,24253,2737,0.10140792886254169,-0.25080410256636254,0.01022303410589065,0.0012745405095031716,-0.4089181919780971,8.728056658695778
organization_type,7,"['Trade: type 1' 'Industry: type 3' 'Agriculture' 'Restaurant'
 'Industry: type 1' 'Construction' 'Realtor' 'Cleaning'
 'Industry: type 13' 'Transport: type 3' 'Industry: type 8']",10551,0.057185132190823065,9318,1233,0.11686096104634631,-0.4099842043675044,0.01141477268215452,0.00141693672066758,-0.4089181919780971,6.849908950590572
organization_type,8,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.4089181919780971,11.687265410847852
organization_type,9,Missing,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.4089181919780971,11.687265410847852
prev_refused_ratio,0,"(-inf, 0.06)",114517,0.6206681625529793,106461,8056,0.07034763397574159,0.14887957190365597,0.012926441295693512,0.0016143145418823224,-0.2827221510923725,12.901770901249193
prev_refused_ratio,1,"[0.06, 0.15)",9661,0.052361440820352725,8955,706,0.07307732118828279,0.10787008342166793,0.0005823719552651049,7.276122089909976e-05,-0.2827221510923725,12.56723038448739
prev_refused_ratio,2,"[0.15, 0.21)",10263,0.05562420734285064,9413,850,0.0828217870018513,-0.02787135151704412,4.371760333978721e-05,5.464523547426604e-06,-0.2827221510923725,11.459901045075354
prev_refused_ratio,3,"[0.21, 0.28)",9370,0.05078425633854725,8520,850,0.09071504802561366,-0.12754672324090288,0.000871595447273494,0.00010887564061508922,-0.2827221510923725,10.64678555402088
prev_refused_ratio,4,"[0.28, 0.46)",17336,0.09395900404322895,15470,1866,0.10763728657129672,-0.31737643142007954,0.010812453766046863,0.0013459126640318177,-0.2827221510923725,9.098223720607702
prev_refused_ratio,5,"[0.46, inf)",13489,0.07310873359131953,11545,1944,0.14411742901623545,-0.6509772568116905,0.04065097522738902,0.004993508379127102,-0.2827221510923725,6.376829315318034
prev_refused_ratio,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.2827221510923725,11.687265410847852
prev_refused_ratio,7,Missing,9870,0.0534941953107216,9247,623,0.06312056737588652,0.26502594121028356,0.0033639089435307653,0.00041926231545179196,-0.2827221510923725,11.687265410847852
inst_late_ratio_1y,0,"(-inf, 0.02)",93059,0.504368421623145,86854,6205,0.06667812892895905,0.20639113580919055,0.01970929893205349,0.0024592989349828363,-0.4112897206245706,14.136573579937593
inst_late_ratio_1y,1,"[0.02, 0.09)",12921,0.07003024291892947,11632,1289,0.09976008048912623,-0.2325887967457887,0.0041769806661736695,0.0005209488594523151,-0.4112897206245706,8.927061404630809
inst_late_ratio_1y,2,"[0.09, 0.20)",11936,0.064691663143746,10487,1449,0.12139745308310992,-0.45321926206617924,0.01606718960649876,0.0019913841309980914,-0.4112897206245706,6.308770658080055
inst_late_ratio_1y,3,"[0.20, inf)",12405,0.06723358589964554,10723,1682,0.13559048770656992,-0.5800745878926497,0.028831252633513785,0.003554213896225785,-0.4112897206245706,4.803338825355585
inst_late_ratio_1y,4,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.4112897206245706,11.687265410847852
inst_late_ratio_1y,5,Missing,54185,0.29367608641453397,49915,4270,0.07880409707483621,0.026225737967953133,0.00019977911980766677,2.497167434457664e-05,-0.4112897206245706,11.687265410847852
inst_late_ratio,0,"(-inf, 0.02)",91102,0.49376172048605466,84977,6125,0.0672323329893965,0.19751988162872758,0.01773715129449495,0.0022135467660431875,-0.3557738288007094,13.714898401998365
inst_late_ratio,1,"[0.02, 0.06)",18624,0.10093980683555007,17266,1358,0.07291666666666667,0.11024422709692461,0.001171467148366159,0.00014635928355232006,-0.3557738288007094,12.8189734196942
inst_late_ratio,2,"[0.06, 0.08)",12168,0.0659490748268349,11088,1080,0.08875739644970414,-0.10357959226848301,0.0007389818042826879,9.233145424849057e-05,-0.3557738288007094,10.623972962707033
inst_late_ratio,3,"[0.08, 0.14)",16886,0.09152005896827203,15303,1583,0.09374629870898969,-0.16375488686987794,0.002628785564858386,0.00032823153806577077,-0.3557738288007094,10.006245716316034
inst_late_ratio,4,"[0.14, 0.24)",18532,0.10044117806466998,16588,1944,0.10489963306712713,-0.28855015723401456,0.009439437833781306,0.001175853263230893,-0.3557738288007094,8.725164514548704
inst_late_ratio,5,"[0.24, inf)",17688,0.09586680107963969,15483,2205,0.12466078697421981,-0.4834668546440115,0.02743717951849741,0.0033966310499303834,-0.3557738288007094,6.724254414078443
inst_late_ratio,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.3557738288007094,11.687265410847852
inst_late_ratio,7,Missing,9506,0.05152135973897868,8906,600,0.06311803071744161,0.26506883708559936,0.0032408410813109336,0.00040392331554175336,-0.3557738288007094,11.687265410847852
prev_days_since_last_refusal,0,"(-inf, -958.50)",15532,0.0841815442316239,14423,1109,0.07140097862477465,0.1328834526532412,0.001406072150520074,0.00017562981809333186,-0.13469732333674297,12.20372269121007
prev_days_since_last_refusal,1,"[-958.50, -485.50)",10438,0.05657268598311166,9360,1078,0.10327648974899406,-0.2711441755772066,0.004660474787597258,0.0005807813294898415,-0.13469732333674297,10.633451856875269
prev_days_since_last_refusal,2,"[-485.50, -254.50)",14790,0.08015999479691717,13190,1600,0.10818120351588911,-0.3230266560964141,0.009578520212838606,0.0011921363977268487,-0.13469732333674297,10.431808354600253
prev_days_since_last_refusal,3,"[-254.50, -162.50)",10075,0.054605270289313085,8775,1300,0.12903225806451613,-0.5229394886954635,0.01858609497432874,0.002297146428781317,-0.13469732333674297,9.65483849287463
prev_days_since_last_refusal,4,"[-162.50, inf)",9407,0.050984791822488155,8272,1135,0.12065483150845116,-0.44623832674719477,0.012240159069644072,0.001517450327976574,-0.13469732333674297,9.95294087288875
prev_days_since_last_refusal,5,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.13469732333674297,11.687265410847852
prev_days_since_last_refusal,6,Missing,124264,0.673495712876546,115591,8673,0.06979495268138801,0.15736135325394374,0.015615057494289163,0.0019498707740791058,-0.13469732333674297,11.687265410847852
bureau_active_count,0,"(-inf, 0.50)",27806,0.15070512612055975,26274,1532,0.05509602244119974,0.4095237921490149,0.02131739213854708,0.0026462082792956133,-0.21092380792259285,14.179616821848086
bureau_active_count,1,"[0.50, 1.50)",44361,0.24043120548925237,41214,3147,0.07094069114762967,0.13984639279762767,0.0044348595381078606,0.0005539061511935705,-0.21092380792259285,12.538367010057584
